data,preco_r$_sc50kg,preco_us$
2023-10-11,155.81,30.84
2023-10-13,154.58,30.36
2023-10-16,154.34,30.62
2023-10-17,154.13,30.62
2023-10-18,156.47,30.95
2023-10-19,156.72,31.04
2023-10-20,159.13,31.6
2023-10-23,157.19,31.31
2023-10-24,156.99,31.42
2023-10-25,157.3,31.46
2023-10-26,157.07,31.46
2023-10-27,158.0,31.51
2023-10-30,158.21,31.38
2023-10-31,157.19,31.22
2023-11-01,158.75,31.9
2023-11-03,158.75,31.9
2023-11-06,156.75,32.05
2023-11-07,156.15,32.07
2023-11-08,155.6,31.72
2023-11-09,154.35,31.32
2023-11-10,158.42,32.26
2023-11-13,158.2,32.23
2023-11-14,155.95,32.06
2023-11-16,156.45,32.14
2023-11-17,156.13,31.83
2023-11-20,156.13,31.83
2023-11-21,157.53,32.14
2023-11-22,156.33,31.9
2023-11-23,155.98,31.79
2023-11-24,154.18,31.48
2023-11-27,153.81,31.4
2023-11-28,154.14,31.64
2023-11-29,155.2,31.74
2023-11-30,154.99,31.5
2023-12-01,154.88,31.77
2023-12-04,155.06,31.33
2023-12-05,155.86,31.62
2023-12-06,155.71,31.75
2023-12-07,155.41,31.64
2023-12-08,155.25,31.52
2023-12-11,154.71,31.35
2023-12-12,154.0,31.02
2023-12-13,154.11,31.27
2023-12-14,154.22,31.44
2023-12-15,151.88,30.72
2023-12-18,151.44,30.85
2023-12-19,153.95,31.67
2023-12-20,148.43,30.29
2023-12-21,147.16,30.11
2023-12-22,148.9,30.63
2023-12-26,151.83,31.46
2023-12-27,147.24,30.47
2023-12-28,149.88,30.89
2024-01-02,149.88,30.89
2024-01-03,147.44,30.02
2024-01-04,145.98,29.71
2024-01-05,142.79,29.31
2024-01-08,142.48,29.24
2024-01-09,144.16,29.41
2024-01-10,146.26,29.88
2024-01-11,146.03,29.94
2024-01-12,146.11,30.1
2024-01-15,144.05,29.61
2024-01-16,144.16,29.25
2024-01-17,143.77,29.17
2024-01-18,144.9,29.37
2024-01-19,145.66,29.55
2024-01-22,145.06,29.07
2024-01-23,143.85,29.03
2024-01-24,144.16,29.22
2024-01-25,144.13,29.29
2024-01-26,144.08,29.33
2024-01-29,145.49,29.39
2024-01-30,144.45,29.22
2024-01-31,146.07,29.53
2024-02-01,145.13,29.53
2024-02-02,145.08,29.21
2024-02-05,144.57,29.02
2024-02-06,144.17,29.06
2024-02-07,146.44,29.48
2024-02-08,147.67,29.59
2024-02-09,146.32,29.51
2024-02-14,145.61,29.3
2024-02-15,148.59,29.9
2024-02-16,148.48,29.9
2024-02-19,147.75,29.78
2024-02-20,147.01,29.82
2024-02-21,145.02,29.36
2024-02-22,145.25,29.34
2024-02-23,145.3,29.13
2024-02-26,144.79,29.09
2024-02-27,144.88,29.36
2024-02-28,146.54,29.48
2024-02-29,145.23,29.2
2024-03-01,143.12,28.89
2024-03-04,142.94,28.89
2024-03-05,142.21,28.71
2024-03-06,141.66,28.65
2024-03-07,141.73,28.71
2024-03-08,141.14,28.34
2024-03-11,142.8,28.7
2024-03-12,142.16,28.59
2024-03-13,142.54,28.66
2024-03-14,142.74,28.59
2024-03-15,144.19,28.87
2024-03-18,144.42,28.73
2024-03-19,144.01,28.68
2024-03-20,144.94,29.15
2024-03-21,144.57,29.03
2024-03-22,145.25,29.05
2024-03-25,145.6,29.26
2024-03-26,145.02,29.1
2024-03-27,145.16,29.15
2024-03-28,145.49,29.04
2024-04-01,145.57,28.74
2024-04-02,146.0,28.86
2024-04-03,146.71,29.12
2024-04-04,146.52,29.03
2024-04-05,146.52,29.03
2024-04-08,146.95,29.22
2024-04-09,147.34,29.41
2024-04-10,146.54,28.86
2024-04-11,146.85,28.86
2024-04-12,146.29,28.54
2024-04-15,146.29,28.21
2024-04-16,148.18,28.17
2024-04-17,149.77,28.61
