data,esp_long,esp_short,esp_net,com_long,com_short,com_net,idx_long,idx_short,idx_net,open_interest,produto,fonte
2022-05-31,225166,103543,121623,269441,633546,-364105,299694,57212,242482,1004674,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-06-07,217596,104880,112716,278017,630147,-352130,293246,53833,239413,1001730,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-06-14,188069,116908,71161,280814,592614,-311800,295073,54436,240637,964793,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-06-21,175744,116169,59575,270724,573623,-302899,291001,47677,243324,906822,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-06-28,160092,147137,12955,257175,502401,-245226,277985,45714,232271,869216,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-07-05,138588,175324,-36736,269527,455985,-186458,266058,42865,223193,856939,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-07-12,149411,139568,9843,267912,482919,-215007,248744,43580,205164,846263,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-07-19,159636,119547,40089,267308,508565,-241257,243842,42674,201168,840193,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-07-26,138053,179161,-41108,305409,458681,-153272,240400,46020,194380,886650,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-08-02,135468,201110,-65642,333222,453463,-120241,241911,56029,185882,928763,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-08-09,132616,198427,-65811,346121,464340,-118219,241046,57016,184030,934721,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-08-16,141155,166896,-25741,316012,474300,-158288,241270,57241,184029,886337,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-08-23,142574,170809,-28235,324364,479953,-155589,240838,57014,183824,900697,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-08-30,145158,156755,-11597,314198,487741,-173543,245135,59995,185140,901085,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-09-06,143934,169359,-25425,324143,481203,-157060,240207,57723,182484,913375,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-09-13,154925,160605,-5680,318051,491929,-173878,245441,65883,179558,902761,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-09-20,143075,183905,-40830,319186,474039,-154853,248448,52765,195683,867633,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-09-27,154980,175941,-20961,290178,458881,-168703,243410,53746,189664,837868,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-10-04,154626,165038,-10412,270017,440686,-170669,237260,56178,181082,817174,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-10-11,177820,131397,46423,257369,498200,-240831,241067,46659,194408,835059,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-10-18,200494,123278,77216,250114,523328,-273214,244633,48634,195999,846976,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-10-25,185253,129701,55552,272024,520675,-248651,241957,48859,193098,856140,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-11-01,169518,150788,18730,305050,504050,-199000,236359,56090,180269,884550,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-11-08,185368,141183,44185,306631,547875,-241244,250754,53695,197059,920099,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-11-15,260601,128973,131628,295537,629026,-333489,261363,59501,201862,1008911,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-11-22,294782,126243,168539,289854,663873,-374019,266491,61013,205478,1047015,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-11-29,280401,122554,157847,291288,655502,-364214,267961,61593,206368,1045123,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-12-06,279641,118578,161063,295482,657039,-361557,265179,64686,200493,1047883,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-12-13,285479,123279,162200,305353,666782,-361429,265523,66295,199228,1071353,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-12-20,329205,117365,211840,281802,685091,-403289,264346,72896,191450,1078177,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-12-27,343335,119744,223591,282541,699651,-417110,263821,70301,193520,1100767,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-01-03,319453,117143,202310,286585,682582,-395997,263994,70307,193687,1089101,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-01-10,270978,111382,159596,316444,658223,-341779,251491,69309,182182,1054988,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-01-17,275836,110550,165286,307265,648243,-340978,244285,68593,175692,1042339,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-01-24,269921,110795,159126,325577,658319,-332742,243579,69962,173617,1065027,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-01-31,341643,124897,216746,333781,728939,-395158,258077,79665,178412,1203234,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-02-07,322130,117374,204756,346255,739339,-393084,262048,73721,188327,1191350,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-02-14,325039,122900,202139,342629,730286,-387657,268761,83244,185517,1187635,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-02-21,320596,122771,197825,279545,667355,-387810,264395,74410,189985,1073444,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-02-28,309977,126929,183048,269064,644232,-375168,268595,76475,192120,1069826,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-03-07,326133,125606,200527,273341,669037,-395696,269663,74493,195170,1133679,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-03-14,313895,132193,181702,283545,656346,-372801,268588,77489,191099,1128553,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-03-21,305514,131105,174409,284394,643891,-359497,264744,79656,185088,1107831,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-03-28,318714,128514,190200,299094,674142,-375048,261727,76879,184848,1151440,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-04-04,327506,119241,208265,362550,723125,-360575,256285,103976,152309,1255950,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-04-11,330742,118799,211943,386784,748133,-361349,249862,100455,149407,1290899,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-04-18,324032,109509,214523,349601,721960,-372359,259145,101309,157836,1187244,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-04-25,328270,110363,217907,360633,739174,-378541,261467,100832,160635,1235305,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-05-02,314793,105917,208876,362401,713518,-351117,243131,100890,142241,1226026,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-05-09,319691,101401,218290,377964,734957,-356993,238535,99831,138704,1266634,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-05-16,313474,97772,215702,378250,738289,-360039,240192,95856,144336,1258695,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-05-23,323912,105930,217982,387227,749108,-361881,241110,97211,143899,1284085,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-05-30,305056,115770,189286,386778,714655,-327877,243770,105179,138591,1261387,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-06-06,295398,116746,178652,429391,740207,-310816,237177,105014,132163,1305774,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-06-13,300861,107462,193399,431945,759780,-327835,227136,92700,134436,1289492,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-06-20,317160,109043,208117,367112,730425,-363313,227065,71869,155196,1174330,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-06-27,256570,115044,141526,354374,656898,-302524,231295,70297,160998,1091655,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-07-03,231262,111174,120088,345995,631681,-285686,235271,69672,165599,1081007,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-07-11,229815,115207,114608,355031,638355,-283324,235453,66738,168715,1096076,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-07-18,237223,118079,119144,347418,638766,-291348,237998,65794,172204,1091472,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-07-25,261299,117000,144299,359056,681156,-322100,244915,67114,177801,1138920,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-08-01,252933,119401,133532,369233,688211,-318978,250578,65131,185447,1149702,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-08-08,229065,117439,111626,379960,677507,-297547,251175,65256,185919,1140328,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-08-15,233471,119253,114218,388231,684231,-296000,249951,68170,181781,1149070,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-08-22,222218,116911,105307,412207,695041,-282834,248492,70965,177527,1164731,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-08-29,264204,109584,154620,397415,722943,-325528,247655,76748,170907,1201103,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-09-05,301722,114028,187694,401293,758678,-357385,249299,79609,169690,1251132,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-09-12,309003,116738,192265,430531,793244,-362713,252565,82117,170448,1287476,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-09-19,318636,119966,198670,371373,757752,-386379,246418,58709,187709,1176429,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-09-26,304136,117107,187029,332521,707525,-375004,246746,58771,187975,1114272,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-10-03,284239,119275,164964,272882,617864,-344982,239938,59920,180018,1031047,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-10-10,294134,118544,175590,281402,635300,-353898,241498,63191,178307,1060182,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-10-17,304135,116952,187183,289646,652620,-362974,239926,64136,175790,1086989,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-10-24,302113,123981,178132,298756,653669,-354913,242373,65590,176783,1106342,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-10-31,280541,120125,160416,307411,646350,-338939,247554,69030,178524,1112667,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-11-07,307352,118650,188702,303174,664516,-361342,243258,70618,172640,1137008,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-11-14,296637,106051,190586,314718,658014,-343296,226692,73982,152710,1114866,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-11-21,295052,107363,187689,328533,667315,-338782,227427,76334,151093,1133077,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-11-28,278197,111931,166266,340944,657316,-316372,227589,77483,150106,1129500,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-12-05,221875,119098,102777,385521,637447,-251926,226338,77189,149149,1110702,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-12-12,168602,118415,50187,397461,583178,-185717,206595,71065,135530,1066781,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-12-19,158291,125805,32486,395512,564968,-169456,211159,74189,136970,1043522,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2023-12-26,155336,135425,19911,420309,577382,-157073,215453,78292,137161,1082449,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-01-02,156049,138706,17343,448243,599846,-151603,218931,84671,134260,1116902,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-01-09,149360,143931,5429,434894,576530,-141636,221597,85389,136208,1106520,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-01-16,149441,136994,12447,431132,575575,-144443,217314,85318,131996,1080547,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-01-23,151105,127936,23169,438368,591212,-152844,219460,89784,129676,1101422,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-01-30,158505,135156,23349,445000,603421,-158421,225591,90519,135072,1133085,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-02-06,164930,137400,27530,454146,618209,-164063,224701,88169,136532,1158219,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-02-13,163216,129684,33532,447935,623123,-175188,234363,92707,141656,1154590,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-02-20,157405,146574,10831,380476,563935,-183459,232666,60038,172628,1007162,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
