data,estado,produto,preco_medio,preco_min,preco_max,n_postos
2024-07-13,RS,hidratado,4.55,4.06,5.99,119
2024-07-13,SC,gasolina_c,5.9,5.41,6.38,158
2024-07-13,SC,hidratado,4.29,3.87,5.75,91
2024-07-13,SE,gasolina_c,6.3,6.15,6.39,33
2024-07-13,SE,hidratado,4.78,4.65,4.98,20
2024-07-13,SP,gasolina_c,5.7,4.65,7.99,1193
2024-07-13,SP,hidratado,3.78,2.99,5.69,1171
2024-07-13,TO,gasolina_c,6.14,5.49,6.49,42
2024-07-13,TO,hidratado,4.39,3.89,4.99,34
2024-07-20,AC,gasolina_c,7.24,7.09,7.55,22
2024-07-20,AC,hidratado,4.92,4.69,5.39,14
2024-07-20,AL,gasolina_c,6.29,5.78,6.94,53
2024-07-20,AL,hidratado,4.86,4.39,5.12,51
2024-07-20,AM,gasolina_c,6.75,6.27,7.68,55
2024-07-20,AM,hidratado,4.76,4.28,4.89,38
2024-07-20,AP,gasolina_c,5.89,5.79,6.15,23
2024-07-20,AP,hidratado,4.71,4.59,5.09,3
2024-07-20,BA,gasolina_c,6.12,5.59,6.69,216
2024-07-20,BA,hidratado,4.35,3.98,5.59,210
2024-07-20,CE,gasolina_c,6.56,6.32,6.79,132
2024-07-20,CE,hidratado,5.22,4.49,5.49,119
2024-07-20,DF,gasolina_c,6.08,5.79,6.19,49
2024-07-20,DF,hidratado,4.07,3.88,4.29,27
2024-07-20,ES,gasolina_c,6.2,5.59,6.89,84
2024-07-20,ES,hidratado,4.34,3.99,4.99,56
2024-07-20,GO,gasolina_c,6.25,5.59,6.49,171
2024-07-20,GO,hidratado,4.28,3.66,4.49,171
2024-07-20,MA,gasolina_c,6.03,5.47,6.95,96
2024-07-20,MA,hidratado,4.55,4.19,5.69,52
2024-07-20,MG,gasolina_c,6.19,5.49,6.79,442
2024-07-20,MG,hidratado,4.25,3.67,4.78,428
2024-07-20,MS,gasolina_c,5.86,5.55,7.09,63
2024-07-20,MS,hidratado,3.81,3.52,4.98,44
2024-07-20,MT,gasolina_c,6.02,5.43,6.68,56
2024-07-20,MT,hidratado,3.83,3.47,3.99,56
2024-07-20,PA,gasolina_c,6.29,5.62,7.35,62
2024-07-20,PA,hidratado,4.79,4.17,5.48,25
2024-07-20,PB,gasolina_c,6.14,5.98,6.29,50
2024-07-20,PB,hidratado,4.62,4.39,4.79,45
2024-07-20,PE,gasolina_c,6.22,5.53,6.79,165
2024-07-20,PE,hidratado,4.82,3.99,5.99,141
2024-07-20,PI,gasolina_c,5.99,5.75,6.39,59
2024-07-20,PI,hidratado,4.39,4.09,4.99,42
2024-07-20,PR,gasolina_c,6.29,5.49,6.99,232
2024-07-20,PR,hidratado,4.32,3.65,4.99,232
2024-07-20,RJ,gasolina_c,5.99,5.39,7.79,317
2024-07-20,RJ,hidratado,4.31,3.79,5.19,294
2024-07-20,RN,gasolina_c,6.6,6.27,6.79,50
2024-07-20,RN,hidratado,5.5,4.89,5.79,49
2024-07-20,RO,gasolina_c,6.83,6.09,7.09,38
2024-07-20,RO,hidratado,4.95,4.61,5.19,12
2024-07-20,RR,gasolina_c,6.31,6.24,6.39,17
2024-07-20,RR,hidratado,4.81,4.79,4.87,4
2024-07-20,RS,gasolina_c,6.2,5.79,7.25,307
2024-07-20,RS,hidratado,4.67,4.19,5.93,129
2024-07-20,SC,gasolina_c,6.2,5.74,6.49,157
2024-07-20,SC,hidratado,4.48,3.99,4.99,93
2024-07-20,SE,gasolina_c,6.3,6.15,6.39,33
2024-07-20,SE,hidratado,4.79,4.65,4.99,20
2024-07-20,SP,gasolina_c,5.81,4.79,7.99,1193
2024-07-20,SP,hidratado,3.87,3.09,5.79,1178
2024-07-20,TO,gasolina_c,6.5,5.74,6.79,41
2024-07-20,TO,hidratado,4.58,3.9,4.99,35
2024-07-27,AC,gasolina_c,7.22,7.09,7.55,22
2024-07-27,AC,hidratado,4.93,4.79,5.54,15
2024-07-27,AL,gasolina_c,6.28,5.99,6.94,53
2024-07-27,AL,hidratado,4.85,4.49,5.12,49
2024-07-27,AM,gasolina_c,6.9,6.85,7.68,55
2024-07-27,AM,hidratado,4.88,4.59,4.89,36
2024-07-27,AP,gasolina_c,5.91,5.79,6.09,23
2024-07-27,AP,hidratado,4.82,4.69,5.24,3
2024-07-27,BA,gasolina_c,6.37,5.58,6.85,229
2024-07-27,BA,hidratado,4.69,3.98,5.59,222
2024-07-27,CE,gasolina_c,6.55,5.79,6.79,119
2024-07-27,CE,hidratado,5.21,4.39,5.49,105
2024-07-27,DF,gasolina_c,5.96,5.69,6.24,48
2024-07-27,DF,hidratado,4.01,3.92,4.19,29
2024-07-27,ES,gasolina_c,6.2,5.49,6.89,85
2024-07-27,ES,hidratado,4.38,3.99,4.99,56
2024-07-27,GO,gasolina_c,6.27,5.69,6.69,177
2024-07-27,GO,hidratado,4.31,3.74,4.59,176
2024-07-27,MA,gasolina_c,6.05,5.59,6.93,108
2024-07-27,MA,hidratado,4.63,4.19,6.01,61
2024-07-27,MG,gasolina_c,6.18,5.43,6.79,443
2024-07-27,MG,hidratado,4.26,3.67,4.99,428
2024-07-27,MS,gasolina_c,5.86,5.55,7.09,63
