data,vencimento,ajuste,volume,contratos_aberto,fonte_cid
2024-06-10,ETHc1,2364.0,27.0,,964525
2024-06-07,ETHc1,2364.0,5.0,,964525
2024-06-06,ETHc1,2369.0,5.0,,964525
2024-06-05,ETHc1,2376.5,88.0,,964525
2024-06-04,ETHc1,2367.5,,,964525
2024-06-03,ETHc1,2395.0,85.0,,964525
2024-05-31,ETHc1,2406.5,70.0,,964525
2024-05-29,ETHc1,2391.0,70.0,,964525
2024-05-28,ETHc1,2371.5,35.0,,964525
2024-05-27,ETHc1,2353.0,20.0,,964525
2024-05-24,ETHc1,2360.0,56.0,,964525
2024-05-23,ETHc1,2360.0,102.0,,964525
2024-05-22,ETHc1,2365.0,10.0,,964525
2024-05-21,ETHc1,2365.0,,,964525
2024-05-20,ETHc1,2365.0,,,964525
2024-05-17,ETHc1,2365.0,1.0,,964525
2024-05-16,ETHc1,2365.0,31.0,,964525
2024-05-15,ETHc1,2365.0,25.0,,964525
2024-05-14,ETHc1,2375.0,60.0,,964525
2024-05-13,ETHc1,2375.0,2.0,,964525
2024-05-10,ETHc1,2375.0,6.0,,964525
2024-05-09,ETHc1,2375.0,6.0,,964525
2024-05-08,ETHc1,2379.0,6.0,,964525
2024-05-07,ETHc1,2369.5,82.0,,964525
2024-05-06,ETHc1,2335.5,82.0,,964525
2024-05-03,ETHc1,2335.5,82.0,,964525
2024-05-02,ETHc1,2335.5,75.0,,964525
2024-04-30,ETHc1,2427.5,32.0,,964525
2024-04-29,ETHc1,2400.0,32.0,,964525
2024-04-26,ETHc1,2400.0,32.0,,964525
2024-04-25,ETHc1,2400.0,28.0,,964525
2024-04-24,ETHc1,2400.0,15.0,,964525
2024-04-23,ETHc1,2400.0,15.0,,964525
2024-04-22,ETHc1,2460.0,15.0,,964525
2024-04-19,ETHc1,2460.0,9.0,,964525
2024-04-18,ETHc1,2460.0,9.0,,964525
2024-04-17,ETHc1,2460.0,4.0,,964525
2024-04-16,ETHc1,2460.0,28.0,,964525
2024-04-15,ETHc1,2389.0,7.0,,964525
2024-04-12,ETHc1,2319.0,13.0,,964525
2024-04-11,ETHc1,2312.0,10.0,,964525
2024-04-10,ETHc1,2312.0,1.0,,964525
2024-04-09,ETHc1,2300.0,111.0,,964525
2024-04-08,ETHc1,2300.0,100.0,,964525
2024-04-05,ETHc1,2300.0,10.0,,964525
2024-04-04,ETHc1,2300.0,48.0,,964525
2024-04-03,ETHc1,2300.0,48.0,,964525
2024-04-02,ETHc1,2300.0,8.0,,964525
